,Date,State,Dead,Injured,Total,Description,Month,Year,WeekDay,WeekOfYear,YearWeek
966,2021-04-15,Illinois,0,4,4,Four people were wounded in Humboldt Park.,4,2021,3,15,2021 - 15
967,2019-05-15,Louisiana,0,4,4,"Four people, including two children were wounded during an altercation between two men in a strip mall parking lot.",5,2019,2,20,2019 - 20
968,2021-05-15,Illinois,2,3,5,Two people were killed and three wounded at an early morning gathering in the Auburn Gresham neighborhood.,5,2021,5,19,2021 - 19
969,2021-05-15,New York,1,4,5,One person was killed and four other were injured in shooting in The South Bronx.,5,2021,5,19,2021 - 19
970,2021-05-15,"Washington, D.C.",1,3,4,A man died and two women and another man were wounded in an afternoon shooting.,5,2021,5,19,2021 - 19
971,2019-06-15,Iowa,4,0,4,"Three relatives, two children and two adults, were found dead from gunshot wounds in a house.",6,2019,5,24,2019 - 24
972,2019-06-15,Louisiana,0,4,4,Four people were wounded in a drive-by shooting outside of a nightclub.,6,2019,5,24,2019 - 24
973,2020-06-15,Illinois,0,4,4,A 15-year-old and three adults were gathered outside an apartment when they were injured in a drive-by shooting in the Montclare neighborhood.,6,2020,0,25,2020 - 25
974,2020-06-15,Illinois,0,4,4,An early morning shooting during a block party injured four people. The suspected shooter was arrested after a local traffic stop.,6,2020,0,25,2020 - 25
975,2021-06-15,Alabama,2,2,4,A shooting at a Mueller Water Products factory killed two and injured two others.,6,2021,1,24,2021 - 24
976,2021-06-15,Illinois,5,3,8,Four women were killed and three others injured after gunfire erupted in a South Side residence. Another woman died in a hospital.,6,2021,1,24,2021 - 24
977,2021-06-15,Illinois,0,5,5,Five people were wounded at West Garfield Park.,6,2021,1,24,2021 - 24
978,2018-07-15,Tennessee,0,5,5,Five people were injured when a shooter fired into a group of people gathered in a parking lot outside a club.,7,2018,6,28,2018 - 28
979,2018-07-15,Colorado,0,4,4,Four people were wounded during a shooting following a fight at a party.,7,2018,6,28,2018 - 28
980,2019-07-15,Louisiana,1,3,4,One person was killed and three were wounded in an apartment complex.,7,2019,0,29,2019 - 29
981,2019-07-15,Georgia,0,4,4,Four people were wounded in a shooting after a potential drug deal turns deadly.,7,2019,0,29,2019 - 29
982,2019-07-15,Maryland,2,2,4,"A man attempted to use a gun to demand methadone, then killed one and wounded two before being killed by police in a shootout.",7,2019,0,29,2019 - 29
983,2020-07-15,Louisiana,1,3,4,A man was killed and two adults and an 11-year-old child were injured after an argument escalated from an original argument at a basketball court.,7,2020,2,29,2020 - 29
984,2020-07-15,New York,1,5,6,Two gunmen opened fire in the early morning outside a Brooklyn apartment building. A man was killed and five other adults were wounded.,7,2020,2,29,2020 - 29
985,2021-07-15,Missouri,1,4,5,A man was killed and four others injured after an argument and physical fight between multiple motorcycle clubs escalated.,7,2021,3,28,2021 - 28
986,2021-07-15,Massachusetts,0,4,4,Officers responding to a ShotSpotter alert discovered four people wounded at the Bromley Heath Projects in Mission Hill.,7,2021,3,28,2021 - 28
987,2021-07-15,Texas,1,3,4,Officers responding to a 911 call were fired upon by a suspect who barricaded themselves in a home. One officer was killed and three injured.,7,2021,3,28,2021 - 28
988,2018-08-15,South Carolina,0,5,5,Five people were injured when they were shot during a backyard gathering to mourn the death of a family member who had died in a car accident earlier that month.,8,2018,2,33,2018 - 33
989,2019-08-15,Alabama,2,3,5,Two people were killed and three wounded in a shooting near Alabama State University.,8,2019,3,33,2019 - 33
990,2019-08-15,Pennsylvania,0,5,5,Four men and a teenage boy were wounded.,8,2019,3,33,2019 - 33
991,2020-08-15,Alabama,2,3,5,Officers arrived at a large gathering early in the morning to disperse it. While doing so shots were fired in the apartment complex's parking lot. Two men were killed and three others wounded.,8,2020,5,33,2020 - 33
992,2020-08-15,Connecticut,1,5,6,One man was killed and five injured after a dice game grew violent shortly before midnight.,8,2020,5,33,2020 - 33
993,2020-08-15,Michigan,4,0,4,"Two men and two women were killed in a home, with one of the women killed identified as the shooter's former fiancée. The shooter boasted about the killings on social media and text messages before being arrested.",8,2020,5,33,2020 - 33
994,2020-08-15,New York,0,5,5,Five people were wounded shortly before midnight.,8,2020,5,33,2020 - 33
995,2020-08-15,Pennsylvania,0,5,5,Four adults and a sixteen-year-old boy were injured shortly before midnight at a large block party when a group on motorcycles arrived and opened fire.,8,2020,5,33,2020 - 33
996,2021-08-15,Texas,3,2,5,"Three people were killed and two injured after a fight escalated in the parking lot of a local sports bar on the East Side, by a man who drew a long gun and shot into the air.",8,2021,6,32,2021 - 32
997,2021-08-15,Illinois,0,4,4,Three men and a woman were wounded standing outside a home shortly after midnight.,8,2021,6,32,2021 - 32
998,2020-09-15,Illinois,0,5,5,"Five people, including three teenagers, were wounded in a drive by shooting. The group were outside celebrating Mexican Independence.",9,2020,1,38,2020 - 38
999,2020-09-15,California,2,3,5,Two people were killed and three others injured in a quintuple shooting near San Jose State University.,9,2020,1,38,2020 - 38
1000,2018-10-15,Tennessee,5,0,5,A mother and four teenage children were found by an older brother in an apparent murder–suicide in which the mother is the reported perpetrator.,10,2018,0,42,2018 - 42
1001,2019-10-15,Oklahoma,2,2,4,A man killed his 11-year-old daughter and wounded her mother and the mother's boyfriend before committing suicide.,10,2019,1,42,2019 - 42
1002,2019-10-15,Ohio,0,4,4,Three teenagers and an adult male were injured while sitting on a porch.,10,2019,1,42,2019 - 42
1003,2020-10-15,Louisiana,2,2,4,A party after a University of Louisiana football game in Moore Park led to an early morning shooting after an argument escalated. Two people were wounded and two killed.,10,2020,3,42,2020 - 42
1004,2020-10-15,Maryland,0,7,7,Seven people were wounded in an evening shooting in Southwest Baltimore. Two people were discovered at the scene and five were later discovered at area hospitals.,10,2020,3,42,2020 - 42
1005,2021-10-15,Alabama,0,5,5,Five people were wounded at a high school football game.,10,2021,4,41,2021 - 41
1006,2020-11-15,Louisiana,0,5,5,Five people were shot shortly after midnight while attending a street gathering.,11,2020,6,46,2020 - 46
1007,2020-11-15,Georgia,2,2,4,Two men were killed and two injured at a trailer park in a late night shooting.,11,2020,6,46,2020 - 46
1008,2021-11-15,Colorado,0,6,6,Six teenagers were wounded in a drive-by shooting at a park located across from a high school.,11,2021,0,46,2021 - 46
1009,2021-11-15,New York,0,4,4,Four men were shot outside of a bodega in Harlem.,11,2021,0,46,2021 - 46
1010,2018-12-15,Florida,0,5,5,Five people were wounded in a shooting.,12,2018,5,50,2018 - 50
1011,2019-12-15,Georgia,1,4,5,One man was killed and four others injured at an intersection early in the morning.,12,2019,6,50,2019 - 50
1012,2019-01-16,California,3,1,4,Three people were killed and another one was wounded in a shooting.,1,2019,2,3,2019 - 3
1013,2019-01-16,Florida,1,5,6,"A man was killed and five other people were injured in a shooting. The Mayor of Jacksonville described the shooting as gang-related, although this characterization has been disputed by the sister of the deceased man.",1,2019,2,3,2019 - 3
1014,2020-01-16,Illinois,0,5,5,Three children between 11 and 16 years old were injured along with two adults after two perpetrators fired into a barber shop in the East Garfield Park neighborhood.,1,2020,3,3,2020 - 3
1015,2021-01-16,California,0,5,5,Five people were wounded after a shooting in the Tenderloin district.,1,2021,5,2,2021 - 2
1016,2021-01-16,Illinois,0,5,5,Four men and a woman were injured in an early morning shooting after an attendee at a house party opened fire.,1,2021,5,2,2021 - 2
1017,2018-02-16,Oklahoma,1,3,4,One person was killed and three were injured inside a home. The man who died had been receiving threats after falling out with a gang. Two people were arrested.,2,2018,4,7,2018 - 7
1018,2019-02-16,Mississippi,4,0,5,"Police responded to a domestic dispute at a residence; upon arrival, the suspect fired shots at officers leading to a 12-hour hostage standoff. Four people were killed, and the suspect was taken into custody and later died.",2,2019,5,7,2019 - 7
1019,2020-02-16,Connecticut,1,4,5,One person was killed and four others were wounded in a shooting at a nightclub. The conditions of the injured are unknown.,2,2020,6,7,2020 - 7
1020,2020-02-16,Texas,1,3,4,A shooting occurred at a bar where one victim was killed and three others were wounded.,2,2020,6,7,2020 - 7
1021,2020-02-16,Florida,1,4,5,One person was killed and four others were injured in a drive-by shooting. The injured victims were transported to the hospital and two of them were listed in serious condition.,2,2020,6,7,2020 - 7
1022,2021-02-16,Florida,3,1,4,"A man suspected in a homicide shot several family members at a house where his grandmother and great-grandmother lived, killing them and his uncle. A woman with gunshot wounds was able to escape to a neighbor's house for help.",2,2021,1,7,2021 - 7
1023,2019-03-16,New Jersey,1,3,4,"One man was killed and three others were wounded following a shooting at a ""residential speakeasy"".",3,2019,5,11,2019 - 11
1024,2021-03-16,Georgia,8,1,9,"2021 Atlanta spa shootings: A series of mass shootings occurred at massage parlors. Eight people were killed in the incidents and one person was wounded, six victims were women of Asian descent. The suspect was arrested in Crisp County and told police he planned to continue his massacre in Florida.",3,2021,1,11,2021 - 11
1025,2021-03-16,Arizona,4,1,5,Four people died after a shooting at a home. One man was injured and is expected to survive.,3,2021,1,11,2021 - 11
1026,2019-04-16,Maryland,1,3,4,A drive-by shooting killed an 18-year-old male and wounded three other men in a cul-de-sac.,4,2019,1,16,2019 - 16
1027,2021-04-16,Michigan,0,4,4,Four people were shot at a vigil on the East Side.,4,2021,4,15,2021 - 15
1028,2018-05-16,Texas,5,1,6,A man wounded his ex-wife and killed their three children and his ex-wife's boyfriend before killing himself in a murder–suicide.,5,2018,2,20,2018 - 20
1029,2019-05-16,Ohio,0,4,4,"Four people, including two teenagers were wounded in a shooting.",5,2019,3,20,2019 - 20
1030,2020-05-16,Louisiana,0,13,13,Hundreds of people had gathered for a memorial service when multiple shooters began firing wounding thirteen people.,5,2020,5,20,2020 - 20
1031,2021-05-16,Michigan,0,5,5,Five people were shot at a party at an apartment complex.,5,2021,6,19,2021 - 19
1032,2021-05-16,Alabama,1,4,5,A suspect in a double homicide opened fire on a SWAT team attempting to carry out a search warrant. The suspect was killed and four officers wounded.,5,2021,6,19,2021 - 19
1033,2021-05-16,Ohio,1,3,4,Responding officers to a fight and shooting call found a man dead and three others wounded at a nightclub.,5,2021,6,19,2021 - 19
1034,2021-05-16,Georgia,0,4,4,Four people were wounded in an early morning shooting at a Waffle House.,5,2021,6,19,2021 - 19
1035,2021-05-16,Georgia,1,5,6,A man was killed and five injured in a drive-by shooting while standing outside a gas station.,5,2021,6,19,2021 - 19
1036,2021-05-16,Georgia,0,4,4,Four people were wounded leaving the Trap Music Museum in an early morning drive-by shooting.,5,2021,6,19,2021 - 19
1037,2019-06-16,Iowa,0,6,6,Six people were shot in a drive-by shooting while standing in the street after a party.,6,2019,6,24,2019 - 24
1038,2019-06-16,Kentucky,1,6,7,Five men and two women were discovered shot near a liquor store by police. One of the men later died at the hospital.,6,2019,6,24,2019 - 24
1039,2019-06-16,Pennsylvania,1,7,8,One person was killed and seven were injured at a graduation party. All of the victims are between 15 and 17 years of age.,6,2019,6,24,2019 - 24
1040,2020-06-16,Iowa,2,2,4,"In an apparent shoot out at a birthday party, one man was killed and two women injured. A second man died in his vehicle while attempting to drive away from the scene with a gunshot wound.",6,2020,1,25,2020 - 25
1041,2021-06-16,Maryland,1,5,6,"Six people were shot, one fatally, in West Baltimore.",6,2021,2,24,2021 - 24
1042,2018-07-16,Pennsylvania,1,4,5,Two gunmen killed one person and injured four others.,7,2018,0,29,2018 - 29
1043,2018-07-16,Florida,2,4,6,Two people were killed and four others were injured when a gunman began shooting at them while they were standing in a yard.,7,2018,0,29,2018 - 29
1044,2018-07-16,District of Columbia,1,4,5,"Masked men drove up in a car and began shooting into a crowd, killing a ten-year-old girl and injuring three others. Three people were arrested in relation to the shooting.",7,2018,0,29,2018 - 29
1045,2019-07-16,Texas,0,4,4,"A man opened fire on his co-workers at a moving company, injuring four, after a disagreement escalated. The suspect was later arrested.",7,2019,1,29,2019 - 29
1046,2020-07-16,Tennessee,0,5,5,"Eight or nine people opened fire in the early morning in a drive-by shooting. Five people were wounded, including a juvenile.",7,2020,3,29,2020 - 29
1047,2021-07-16,New Hampshire,0,4,4,Four people were wounded as passengers in a van taking them from a nightclub.,7,2021,4,28,2021 - 28
1048,2021-07-16,"Washington, D.C.",1,5,6,A six-year-old girl was killed and five adults were injured in a shooting in the nation's capital.,7,2021,4,28,2021 - 28
1049,2021-07-16,South Carolina,1,3,4,One person was killed and three injured at Conestee Park after an argument escalated.,7,2021,4,28,2021 - 28
1050,2021-07-16,California,2,4,6,Shortly before midnight two men were killed and four others injured in Old Sacramento near the old train tracks.,7,2021,4,28,2021 - 28
1051,2021-07-16,Illinois,1,3,4,One man was killed and three others injured in Austin shortly before midnight.,7,2021,4,28,2021 - 28
1052,2021-07-16,Pennsylvania,1,4,5,An adult was killed and three adults and a fourteen-year-old injured in an evening shooting.,7,2021,4,28,2021 - 28
1053,2020-08-16,Texas,0,5,5,"Five people were injured, one critically, in a shooting caused by a dispute at a flea market. A security guard returned fire.",8,2020,6,33,2020 - 33
1054,2020-08-16,Colorado,2,5,7,Two men were killed and five others were wounded in a shooting shortly after an earlier shooting.,8,2020,6,33,2020 - 33
